"cd_procedimento";"ano_realizacao";"n_procedimento";"custo_procedimento"
"30304059";"2023";103.00;25308.27
"30304059";"2024";25.00;3767.71
"30304083";"2023";540.00;474345.71
"30304083";"2024";474.00;402001.22
"30304091";"2023";1420.00;1084458.25
"30304091";"2024";914.00;797164.24
"30304105";"2023";4556.40;3817857.67
"30304105";"2024";3659.00;3133229.09
"30304156";"2023";371.00;413467.07
"30304156";"2024";182.00;252888.17
"30305012";"2023";131.00;12849.38
"30305012";"2024";79.00;6419.10
"30306019";"2023";26035.80;6625152.07
"30306019";"2024";22653.90;5595558.30
"30306027";"2023";52221.00;45735296.62
"30306027";"2024";45281.00;36584812.52
"30306035";"2023";552.00;228944.24
"30306035";"2024";456.00;183430.06
"30306043";"2023";353.00;193282.11
"30306043";"2024";316.00;159219.40
"30306060";"2023";469.50;151263.57
"30306060";"2024";357.00;110524.27
"30306078";"2023";87.00;24365.80
"30306078";"2024";82.00;20319.60
"30307082";"2023";577.00;205647.19
"30307082";"2024";464.00;149585.11
"30307139";"2023";370.00;630080.64
"30307139";"2024";121.00;395336.72
"30307147";"2023";33952.30;18435732.81
"30307147";"2024";27411.00;13917236.45
"30308011";"2023";1.00;111.46
"30308011";"2024";1.00;105.65
"30310016";"2023";1.00;2750.00
"30310016";"2024";3.00;165.71
"30310024";"2023";124.00;50371.24
"30310024";"2024";72.00;48588.28
"30310067";"2023";1007.00;292584.80
"30310067";"2024";838.00;249805.99
"30310075";"2023";73.00;67508.05
"30310075";"2024";49.00;47912.96
"30310083";"2023";2650.50;582217.11
"30310083";"2024";2185.80;457646.74
"30310105";"2023";92.00;13385.46
"30310105";"2024";51.00;8020.07
"30310113";"2023";9.00;3472.29
"30310113";"2024";7.00;2123.24
"30311012";"2023";2.00;271.78
"30311012";"2024";3.00;1177.00
"30311055";"2023";259.00;35359.35
"30311055";"2024";169.00;21864.22
"30312043";"2023";11905.00;2814133.40
"30312043";"2024";10165.00;2317536.53
"30312124";"2023";4.00;7501.82
"30312124";"2024";2.00;9056.46
"30312132";"2023";1120.00;737267.18
"30312132";"2024";816.00;521408.47
"30312159";"2023";1.00;2760.00
"30313040";"2023";103.00;7713.14
"30313040";"2024";110.00;9581.08
"30313066";"2023";1008.00;101617.29
"30313066";"2024";590.00;58033.98
"30401011";"2023";12.00;606.66
"30401038";"2023";36.00;6856.43
